Sdate,Cosit,Study,Period,LaneNumber,LaneDescription,LaneDirection,DirectionDescription,Volume,Flags,Flag Text,Setup,#Bins,Bins,,,,,,,,,,,,,,,,
3/1/2019 17:00,000052525000,2,60,3,Southbound Lane 1,2,South,579,8192,Checked,32738,16,1,0,0,0,0,0,5,33,151,264,115,8,2,0,0,0,
3/1/2019 17:00,000052525000,2,60,4,Southbound Lane 2,2,South,434,8192,Checked,32738,16,0,0,0,0,0,0,0,0,6,117,209,91,10,1,0,0,
3/1/2019 18:00,000052525000,2,60,1,Northbound Lane 1,1,North,727,8192,Checked,32738,16,0,0,0,0,0,0,5,34,176,323,148,35,4,1,1,0,
3/1/2019 18:00,000052525000,2,60,2,Northbound Lane 2,1,North,901,8192,Checked,32738,16,1,0,0,0,0,0,0,1,26,177,470,195,26,3,2,0,
3/1/2019 18:00,000052525000,2,60,3,Southbound Lane 1,2,South,447,8192,Checked,32738,16,1,0,0,0,0,0,4,22,101,206,97,15,1,0,0,0,
3/1/2019 18:00,000052525000,2,60,4,Southbound Lane 2,2,South,279,8192,Checked,32738,16,0,0,0,0,0,0,0,0,8,49,146,56,18,2,0,0,
3/1/2019 19:00,000052525000,2,60,1,Northbound Lane 1,1,North,532,8192,Checked,32738,16,0,0,0,0,3,5,2,40,110,234,116,15,5,0,2,0,
3/1/2019 19:00,000052525000,2,60,2,Northbound Lane 2,1,North,521,8192,Checked,32738,16,0,0,0,0,0,0,0,4,5,103,272,115,18,3,1,0,
3/1/2019 19:00,000052525000,2,60,3,Southbound Lane 1,2,South,322,8192,Checked,32738,16,0,0,0,0,5,0,5,20,61,142,69,15,4,1,0,0,
3/1/2019 19:00,000052525000,2,60,4,Southbound Lane 2,2,South,180,8192,Checked,32738,16,0,0,0,0,0,0,0,0,8,46,85,35,6,0,0,0,
